address,allocation
0x350305b3458c1c10Df509951a719c42cD39c3c9C,98831784833077100000000
0xcF712bE3745A50B478Dc917FBD48BA045F8DCc52,37673893437696420000000
0x974cfa846bd57Cd4999a62F2749EFEa52227EabB,20097502558816275000000
0x8a9a5a8Cbb946CD5c0A0B93eFBaf8794A1341901,32730203076019978000000
0x5bE04eC8592A519Fd676bb7D08aCc934a575590B,90256859103591310000000
0x16Fa9fF434948D6653C1e4dEdA05E1CdBF001F1e,94679483228532070000000
0xeFdfd44a8d3a7657Fae82B08a3bFC966043e918f,84876590776851010000000
0xD5c3Cf14BDbA177B88207F552d954fa4e52748A6,77286362495139590000000
0x7Fe2f6C5eD872590914b9483b533305E1178943A,97947223438263070000000
0x2087A601AbF7c8FF83a6a9d955624f227C797513,69285646926191200000000
0x39930b69FFA0CD83eF44e8d5127fF7444D9A021B,55817661676342716000000
0x42c6d8a7D427ec134d968bEc603add8E9c2dBcA1,37941401345587470000000
0xC52fC826F9f18142db02BB38265A54ed65F8eE33,41643482142437470000000
0x2E85965f033BfD3443721bC8c6F3E81717D85807,32430339202505390000000
0x37842ff63791A8c18AE04c9246c2C788798D53AB,62885066672877714000000
0xd81628f86c9bE3d12F3Dc2D18862bF30655270b7,64755903507352145000000
0x3D90Ce5dDB642c28564682D7C477791E2BcD9CFF,71051895315230960000000
0xaeEe84A01FdDE0CBf73B351E227221f3DaBEf169,57907400444667450000000
0x99e24d06f063f0144D85Af3B8DFea8d4ED5d582a,56306437831547970000000
0x61D409d5867AAdc7BBD87B6cD2111940a67ceF09,88562923611622800000000
0xf7F20b494A2C0f409dF6a11cfed2246E03825e9B,90052317657983660000000
0x3dC03a20b58BFbDfCA12E09dECa2F63c7431A4f1,70029686186595650000000
0x4a932abd05E84bE0819b83ACa6AD8629E0643B7A,27378904785140523000000
0x7E9b7EaB88e39D3E1734e39c941082069c0EBA30,61649019476155394000000
0x8db78a273F69aB518D638f20453060B316260f1f,24048991354615417000000
0xF74e3505285dC91A017A73Fa9baB96d746865450,33228909617593876000000
0xBb0C1D9D36a660c672C9Fe9387c221D073267dCF,44686609575227776000000
0x0851330206a75F33750b2f643409Dc7FA1dCD28a,22140508154926974000000
0xdB15f1aEdd2a8135d52EACD3dCF9E1ad58Cc2EF2,7003943533475890000000
0x43DF3dBC80357FbBF3D10455ef936E88Bf3A8A5D,67929857025362130000000
0x0618586523d38fFF0F883AE2cCfa60D25cE2Ecdc,89147728065394430000000
0xB34C1E384DC4D958c11ce6F83F5F9C21B2531D0F,41038329476651280000000
0x31251951BC3746017153567c13D4Cb2D0C8B192d,72371332429276390000000
0xd62214b8C6a9Ea940fa7f4064381f6999721dEE4,55814533658004480000000
0x51B3B7b27c7d3C03C6B63adc39855b569c205926,47609701804753466000000
0xE2754848A5011a9B94d443183b210cCdd137E03C,8829168816409772000000
0xF87C70c18102D311c44a41a0fc2Da305d8bac2c2,79072620870774280000000
0x85D2642b8eAB52bE7dC978B697B585CFC466fdC4,13658170959216983000000
0x5f8918EA72d39ecE421eDD86eca5B094293598e4,60268590188013884000000
0x9C504c0c4d25F7A74f60055eC1c8fAc925727dce,25900115255915018000000
0x0784800FAF40D0d5cE0463a09c8aA737356F57ca,84429801249066030000000
0x67D8A473F0C0b2bDf678bdB1af324B3124b1fe9A,69087721087513320000000
0xd7d1d9286627Ee97Cc1D7F7B34E48b485a3474B3,44017184462987390000000
0x40405009E75F77249C0A16ba37A154C36402f96F,41644628287892694000000
0x6BA2Fd97DA62ADA0507B55b8406DC743a415ba12,37880701895322860000000
0xB617706A8DedDEEa3f578f575c3C152B2904CCA1,75672199775534250000000
0xDBfd3A1Bd414776C6D4D88Bd6f787f1D955Cef71,24837132361705030000000
0x4Df377f370323E027AbC9BF9E224000156D5627a,92963611841305400000000
0xBaa7699068B2b9631668a5F175C10453e8999Ec8,72726729941695030000000
0x4308BC8fc4D982EC9278251D700005bB35c7c09a,33328484755655900000000
0x7545FA0dC152BDBF184AFE9f4AAD56548aD9837b,81121789986908010000000
0x5195f7EA947f31Cb1388D2b2E1bFDA5cb3C78605,95343486541879960000000
0x874b85eFF582C8B030d4374D6Fe95EbCC31E2722,29540437988686677000000
0xC5AB0095dE7aa244DdA7F9Ba8B48A85924e60292,73471990438103140000000
0xc849a8e2C1c75f890Ff102732E2AfA9FeF39cC68,20314474219755880000000
0xf196D7eE4197546aC9e62320C242F274c4f12a61,42009085844705674000000
0xCD627e488d83C38B4FA005F8CC6c89044f30C07f,8503950160534380000000
0xb763aEC6BaD6078A8cD2b7eeFEF4409BD82d28cb,6353974183314708000000
0xb0B8C0FCD072737a1F7C9E402dA53420Cf8b866a,12043546327328917000000
0x3Cd8E3b8D5abc6593FE44CA7dD716f539A29E823,53613632226039320000000
0xF965a9480F76fa66961729B1E35F9eEED54a220b,94514596467551620000000
0x6D64cD80b5be1B2041d51c9399d84Ba69F90a091,44949295838521335000000
0x723A9b68f2005873FA5Dd196F06fB36aEeCf17A1,91477555734582610000000
0x022808BA59Be3181b5D074c417da06f5a5BE6B44,45282993527601870000000
0x6d7c67A936De10e70E44f9AA310f823bC9833048,88563407375131040000000
0xa822B0448bcCf96e4C6b2f0740184C652bBE313e,28399132668465838000000
0x37983a0E0759439f3139b3cbC554f7B1BCaECD64,65214279071654884000000
0x0dA2998111Bf1a205C1030ae596E3D9Cd95B3545,33921255499020575000000
0x7ca5131e8f06887246DEA813A13a354EF1F603f7,64161404070068784000000
0x95661e212296127e908aa0b30f5f0e8e035762Cd,64441669606709520000000
0x0fc590B6BF94cDa204dB9EC58F518e4423246868,36585325719788896000000
0xEBF92677017f8cA4E20D3E38CCDE0f075B3F4A8d,52829469010501980000000
0x1d3f1BC2CaB2864d0F0D84fbF9Bd5E156AC46988,40136050618040570000000
0x5eDba2592fe33ca097b7Af0fdCDEDd4F792FB45F,15134632220884916000000
0x386aCe3c8046D8C9B3EE7381BaFaD4a4C40c0940,64575262218180950000000
0x7a74041300adEaD29EdAdAbF94F7e47Ea9d70427,91051744508599280000000
0x1418909cA199a1E1Cf1c85E827E10d643E74e11A,10489898028301475000000
0x9D379b5E4eDf0cDBBA8269272FCD0d0EefAeb74a,46735086436253150000000
0x785c934d915Ab4073326319B877C651C15f965ea,74498310327015130000000
0xb6645f08D900654F9FDaCDB09ce648B12690DA04,23287788616758520000000
0x1cB021Fe9AC9D2Ce72b531E18F320E6a3554Fa5C,49244553548635260000000
0x080DB6ba5F549A41A55DA873C2677F838Ad2Dd5e,24577614683643817000000
0xbE990BbfFf8397c4F605Bf1E22683B5b4e401069,24763972898747237000000
0xc01e1A3759aB0b3be3111e290Ea8594eC255Fb6C,70865883187277160000000
0x3077bAA9bBd5C27Ac6f77F3A2092CFE443db0815,79302830890710230000000
0xFc3605267A3589c1879CDaB39C990289071dE847,19467876760794028000000
0x48D7A0A24452108D145511cefa5d8cDa544E8f39,18120545351914036000000
